domain,accession,name,phylum,class,order,family,genus,species,genbank,protein,prokka,description,oldname
Bacteria,AJH79515.1,mota,Bacillota,Bacilli,Bacillales,Bacillaceae,Weizmannia,Weizmannia coagulans DSM 1 = ATCC 7050,CP009709.1,AJH79515.1,NA,motA/TolQ/ExbB proton channel family protein,AJH79515.1_AQB_Weizmannia
Bacteria,ALA58549.1,mota,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,Nitrospira moscoviensis,CP011801.1,ALA58549.1,NA,Flagellar motor protein MotA,ALA58549.1_MotA_Nitrospira
Bacteria,ALF47869.1,mota,Pseudomonadota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter concisus,CP012541.1,ALF47869.1,NA,flagellar motor protein,ALF47869.1_Campylobacter
Bacteria,ALU34477.1,mota,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium autoethanogenum DSM 10061,CP012395.1,ALU34477.1,NA,MotA/TolQ/ExbB proton channel,ALU34477.1_AQB_Clostridium
Bacteria,ALU36624.1,mota,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium autoethanogenum DSM 10061,CP012395.1,ALU36624.1,NA,Chemotaxis protein MotA,ALU36624.1_MotA_Clostridium
Bacteria,AOO65115.1,mota,Pseudomonadota,Epsilonproteobacteria,Campylobacterales,Sulfurospirillaceae,Sulfurospirillum,Sulfurospirillum halorespirans DSM 13726,CP017111.1,AOO65115.1,NA,flagellar motor rotation protein MotA,AOO65115.1_MotA_Sulfurospirillum
Bacteria,APC07539.1,mota,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Moorella,Moorella thermoacetica,CP017237.1,APC07539.1,NA,chemotaxis protein PomA,APC07539.1_PomA_Moorella
Bacteria,APC07901.1,mota,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Moorella,Moorella thermoacetica,CP017237.1,APC07901.1,NA,chemotaxis protein PomA,APC07901.1_PomA_Moorella
Bacteria,APC08935.1,mota,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Moorella,Moorella thermoacetica,CP017237.1,APC08935.1,NA,chemotaxis protein PomA,APC08935.1_PomA_Moorella
Bacteria,ATO49114.1,mota,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus laterosporus DSM 25,CP017705.1,ATO49114.1,NA,chemotaxis protein,ATO49114.1_MotA_Brevibacillus
Bacteria,ATO49967.1,mota,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus laterosporus DSM 25,CP017705.1,ATO49967.1,NA,flagellar motor protein MotA,ATO49967.1_MotA_Brevibacillus
Bacteria,ATX78565.1,mota,Pseudomonadota,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus aestuarium,CP018799.1,ATX78565.1,NA,chemotaxis protein MotA,ATX78565.1_MotA_Mariprofundus
Bacteria,ATX82900.1,mota,Pseudomonadota,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrinatatus,CP018800.1,ATX82900.1,NA,chemotaxis protein MotA,ATX82900.1_MotA_Mariprofundus
Bacteria,BAC58952.1,mota,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus RIMD 2210633,BA000031.2,BAC58952.1,NA,sodium-driven polar flagellar protein MotA,BAC58952.1_Na_MotA_Vibrio
Bacteria,BAM06016.1,mota,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Leptospirillum,Leptospirillum ferrooxidans C2-3,AP012342.1,BAM06016.1,NA,flagellar motor component,BAM06016.1_MotA_Leptospirillum
Bacteria,BAS27507.1,mota,Bacillota,Limnochordia,Limnochordales,Limnochordaceae,Limnochorda,Limnochorda pilosa,AP014924.1,BAS27507.1,NA,flagellar motor protein MotP,BAS27507.1_MotP_Limnochorda
Bacteria,BCB96091.1,mota,Nitrospirae,Thermodesulfovibrionia,Thermodesulfovibrionales,Dissulfurispiraceae,Dissulfurispira,Dissulfurispira thermophila,AP022873.1,BCB96091.1,NA,chemotaxis protein MotA,BCB96091.1_MotA_Dissulfurispira
Bacteria,CAB13242.1,mota,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis subsp. subtilis str. 168,,CAB13242.1,NA,motility protein A MotA component of the H+-coupled stator,CAB13242.1_MotA_Bacillus
Bacteria,CAB14951.1,mota,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis subsp. subtilis str. 168,,CAB14951.1,NA,sodium channel stator-force generator subunit of flagellar rotation,CAB14951.1_Na_motA_Bacillus
Bacteria,CAD76169.1,mota,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Rhodopirellula,Rhodopirellula baltica SH 1,,CAD76169.1,NA,chemotaxis pomA protein,CAD76169.1_PomA_Rhodopirellula
Bacteria,CAL34488.1,mota,Pseudomonadota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,,CAL34488.1,NA,putative flagellar motor proton channel,CAL34488.1_MotA_Campylobacter
Bacteria,CCW35905.1,mota,Armatimonadetes,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,Chthonomonas,Chthonomonas calidirosea T49,,CCW35905.1,NA,Flagellar motor component,CCW35905.1
Bacteria,CDK98228.1,mota,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospirillum,Magnetospirillum gryphiswaldense MSR-1 v2,,CDK98228.1,NA,putative flagellar motor component,CDK98228.1_MotA_Magnetospirillum
Bacteria,QAR32385.1,mota,Deferribacteres,Deferribacteres,Deferribacterales,Geovibrionaceae,Geovibrio,Geovibrio thiophilus,CP035108.1,QAR32385.1,NA,motility protein A,QAR32385.1_MotA_Geovibrio
Bacteria,QAT61614.1,mota,Bacillota,Tissierellia,Tissierellales,Acidilutibacteraceae,Acidilutibacter,Acidilutibacter cellobiosedens,CP035282.1,QAT61614.1,NA,motility protein A,QAT61614.1_MotA_Tissierella
Bacteria,QAT63225.1,mota,Bacillota,Tissierellia,Tissierellales,Acidilutibacteraceae,Acidilutibacter,Acidilutibacter cellobiosedens,CP035282.1,QAT63225.1,NA,motility protein A,QAT63225.1_MotA_Tissierella
Bacteria,QDU26963.1,mota,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Anatilimnocola,Anatilimnocola aggregata,CP036274.1,QDU26963.1,NA,Chemotaxis protein PomA,QDU26963.1_PomA_Anatilimnocola
Bacteria,QEO41881.1,mota,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae,CP043554.1,QEO41881.1,NA,flagellar motor protein PomA,QEO41881.1_PomA_Vibrio
Bacteria,QFG02534.1,mota,Chloroflexi,Tepidiformia,Tepidiformales,Tepidiformaceae,Tepidiforma,Tepidiforma bonchosmolovskayae,CP042829.1,QFG02534.1,NA,flagellar motor protein,QFG02534.1_Tepidiforma
Bacteria,QNQ12173.1,mota,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas alpina,CP061038.1,QNQ12173.1,NA,MotA/TolQ/ExbB proton channel family protein,QNQ12173.1_AQB_Sphingomonas
Bacteria,QOY85398.1,mota,Acidobacteria,Acidobacteriia,Bryobacterales,Bryobacteraceae,Paludibaculum,Paludibaculum fermentans,CP063849.1,QOY85398.1,NA,flagellar motor protein,QOY85398.1_MotA_Paludibaculum
Bacteria,QOY88866.1,mota,Acidobacteria,Acidobacteriia,Bryobacterales,Bryobacteraceae,Paludibaculum,Paludibaculum fermentans,CP063849.1,QOY88866.1,NA,flagellar motor protein,QOY88866.1_Paludibaculum
Bacteria,QTD53836.1,mota,Acidobacteria,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Sulfidibacter,Sulfidibacter corallicola,CP071793.1,QTD53836.1,NA,MotA/TolQ/ExbB proton channel family protein,QTD53836.1_AQB_Sulfidibacter
Bacteria,UPH48256.1,mota,Bacillota,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria innocua,CP095724.1,UPH48256.1,NA,flagellar motor stator protein MotA,UPH48256.1_MotA_Listeria
Bacteria,USF23676.1,mota,Deferribacteres,Deferribacteres,Deferribacterales,Mucispirillaceae,Mucispirillum,Mucispirillum schaedleri ASF457,CP097562.1,USF23676.1,NA,Chemotaxis protein PomA,USF23676.1_PomA_Mucispirillum
Bacteria,ABQ61581.1,tolq,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,Brucella ovis ATCC 25840,CP000708.1,ABQ61581.1,NA,protein TolQ,ABQ61581.1_TolQ_Brucella
Bacteria,AEO47594.1,tolq,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillum,Rhodospirillum rubrum F11,CP003046.1,AEO47594.1,NA,MotA/TolQ/ExbB proton channel,AEO47594.1_AQB_Rhodospirillum
Bacteria,AEO48685.1,tolq,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillum,Rhodospirillum rubrum F11,CP003046.1,AEO48685.1,NA,MotA/TolQ/ExbB proton channel,AEO48685.1_AQB_Rhodospirillum
Bacteria,AIQ91305.1,tolq,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium oryzae CBMB20,CP003811.1,AIQ91305.1,NA,TolQ protein,AIQ91305.1_TolQ_Methylobacterium
Bacteria,AJJ31712.1,tolq,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pestis,CP009844.1,AJJ31712.1,NA,protein TolQ,AJJ31712.1_TolQ_Yersinia
Bacteria,AJJ55217.1,tolq,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis IP 32953,CP009712.1,AJJ55217.1,NA,protein TolQ,AJJ55217.1_TolQ_Yersinia
Bacteria,APW43236.1,tolq,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax saidenbachensis,CP019239.1,APW43236.1,NA,protein TolQ,APW43236.1_TolQ_Rhodoferax
Bacteria,ATU66653.1,tolq,Pseudomonadota,Betaproteobacteria,Burkholderiales,,Rhizobacter,Rhizobacter gummiphilus,CP024645.1,ATU66653.1,NA,protein TolQ,ATU66653.1_TolQ_Rhizobacter
Bacteria,BAC59320.1,tolq,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus RIMD 2210633,BA000031.2,BAC59320.1,NA,TolQ protein,BAC59320.1_TolQ_Vibrio
Bacteria,BDB95989.1,tolq,Pseudomonadota,Alphaproteobacteria,Holosporales,Holosporaceae,Candidatus Hydrogenosomobacter,Candidatus Hydrogenosomobacter endosymbioticus,AP025225.1,BDB95989.1,NA,hypothetical protein HYD_1220,BDB95989.1
Bacteria,CDK97994.1,tolq,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospirillum,Magnetospirillum gryphiswaldense MSR-1 v2,,CDK97994.1,NA,TolQ protein,CDK97994.1_TolQ_Magnetospirillum
Bacteria,QEO41016.1,tolq,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae,CP043554.1,QEO41016.1,NA,protein TolQ,QEO41016.1_TolQ_Vibrio
Bacteria,QKY92913.1,tolq,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,CP055292.1,QKY92913.1,NA,Tol-Pal system protein TolQ,QKY92913.1_TolQ_Shigella
Bacteria,QXB11428.1,tolq,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella aerogenes,CP077293.1,QXB11428.1,NA,Tol-Pal system protein TolQ,QXB11428.1_TolQ_Klebsiella
Bacteria,AAC73831.1,X,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli str. K-12 substr. MG1655,U00096.3,AAC73831.1,NA,Tol-Pal system protein TolQ,AAC73831.1_TolQ_Escherichia
Bacteria,AAG04358.1,X,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa PAO1,AE004091.2,AAG04358.1,NA,TolQ protein,AAG04358.1_TolQ_Pseudomonas
Bacteria,AAG04849.1,X,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa PAO1,AE004091.2,AAG04849.1,NA,MotC,AAG04849.1
Bacteria,AAG06371.1,X,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa PAO1,AE004091.2,AAG06371.1,NA,probable tolQ-type transport protein,AAG06371.1_TolQtype_Pseudomonas
Bacteria,AAG08339.1,X,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa PAO1,AE004091.2,AAG08339.1,NA,chemotaxis protein MotA,AAG08339.1_MotA_Pseudomonas
Bacteria,ABA04528.1,X,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Nitrobacter,Nitrobacter winogradskyi Nb-255,CP000115.1,ABA04528.1,NA,outer membrane transport energization protein ExbB,ABA04528.1_ExbB_Nitrobacter
Bacteria,ABA05299.1,X,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Nitrobacter,Nitrobacter winogradskyi Nb-255,CP000115.1,ABA05299.1,NA,outer membrane transport energization protein ExbB,ABA05299.1_ExbB_Nitrobacter
Bacteria,ABA05973.1,X,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Nitrobacter,Nitrobacter winogradskyi Nb-255,CP000115.1,ABA05973.1,NA,Cell division and transport-associated protein TolQ,ABA05973.1
Bacteria,ABA05996.1,X,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Nitrobacter,Nitrobacter winogradskyi Nb-255,CP000115.1,ABA05996.1,NA,conserved hypothetical protein,ABA05996.1_Hyp_Nitrobacter
Bacteria,ABD81321.1,X,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Saccharophagus,Saccharophagus degradans 2-40,CP000282.1,ABD81321.1,NA,MotA/TolQ/ExbB proton channel,ABD81321.1_AQB_Saccharophagus
Bacteria,ABD81419.1,X,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Saccharophagus,Saccharophagus degradans 2-40,CP000282.1,ABD81419.1,NA,MotA/TolQ/ExbB proton channel,ABD81419.1_AQB_Saccharophagus
Bacteria,ABD81792.1,X,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Saccharophagus,Saccharophagus degradans 2-40,CP000282.1,ABD81792.1,NA,MotA/TolQ/ExbB proton channel,ABD81792.1_AQB_Saccharophagus
Bacteria,ABD82072.1,X,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Saccharophagus,Saccharophagus degradans 2-40,CP000282.1,ABD82072.1,NA,MotA/TolQ/ExbB proton channel,ABD82072.1_AQB_Saccharophagus
Bacteria,ABD82214.1,X,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Saccharophagus,Saccharophagus degradans 2-40,CP000282.1,ABD82214.1,NA,MotA/TolQ/ExbB proton channel,ABD82214.1_AQB_Saccharophagus
Bacteria,ABD82476.1,X,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Saccharophagus,Saccharophagus degradans 2-40,CP000282.1,ABD82476.1,NA,MotA/TolQ/ExbB proton channel,ABD82476.1_AQB_Saccharophagus
Bacteria,ABD82818.1,X,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Saccharophagus,Saccharophagus degradans 2-40,CP000282.1,ABD82818.1,NA,MotA/TolQ/ExbB proton channel,ABD82818.1_AQB_Saccharophagus
Bacteria,ABF87376.1,X,Pseudomonadota,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus xanthus DK 1622,CP000113.1,ABF87376.1,NA,MotA/TolQ/ExbB proton channel family protein,ABF87376.1_AQB_Myxococcus
Bacteria,ABF90492.1,X,Pseudomonadota,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus xanthus DK 1622,CP000113.1,ABF90492.1,NA,MotA/TolQ/ExbB proton channel family protein,ABF90492.1_AQB_Myxococcus
Bacteria,ABF90777.1,X,Pseudomonadota,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus xanthus DK 1622,CP000113.1,ABF90777.1,NA,MotA/TolQ/ExbB proton channel family protein,ABF90777.1_AQB_Myxococcus
Bacteria,ABF91581.1,X,Pseudomonadota,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus xanthus DK 1622,CP000113.1,ABF91581.1,NA,transporter MotA/TolQ/ExbB proton channel family,ABF91581.1_AQBfamily_Myxococcus
Bacteria,ABF92363.1,X,Pseudomonadota,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus xanthus DK 1622,CP000113.1,ABF92363.1,NA,transporter MotA/TolQ/ExbB proton channel family,ABF92363.1_AQBfamily_Myxococcus
Bacteria,ABF92421.1,X,Pseudomonadota,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus xanthus DK 1622,CP000113.1,ABF92421.1,NA,tonB system transport protein ExbB/TolQ,ABF92421.1
Bacteria,ABL64659.1,X,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobium phaeobacteroides DSM 266,CP000492.1,ABL64659.1,NA,outer membrane transport energization protein ExbB,ABL64659.1_ExbB_Chlorobium
Bacteria,ABQ62189.1,X,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,Brucella ovis ATCC 25840,CP000709.1,ABQ62189.1,NA,chemotaxis motA protein,ABQ62189.1_MotA_Brucella
Bacteria,ABY95376.1,X,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,Thermoanaerobacter pseudethanolicus ATCC 33223,CP000924.1,ABY95376.1,NA,MotA/TolQ/ExbB proton channel,ABY95376.1_AQB_Thermoanaerobacter
Bacteria,ACB73533.1,X,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae PB90-1,CP001032.1,ACB73533.1,NA,MotA/TolQ/ExbB proton channel,ACB73533.1_AQB_Opitutus
Bacteria,ACB76604.1,X,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae PB90-1,CP001032.1,ACB76604.1,NA,MotA/TolQ/ExbB proton channel,ACB76604.1_AQB_Opitutus
Bacteria,ACB77180.1,X,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae PB90-1,CP001032.1,ACB77180.1,NA,MotA/TolQ/ExbB proton channel,ACB77180.1_AQB_Opitutus
Bacteria,ACD89825.1,X,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobium limicola DSM 245,CP001097.1,ACD89825.1,NA,protein TolQ,ACD89825.1_TolQ_Chlorobium
Bacteria,ACF11057.1,X,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobaculum,Chlorobaculum parvum NCIB 8327,CP001099.1,ACF11057.1,NA,protein TolQ,ACF11057.1_TolQ_Chlorobaculum
Bacteria,ACF11913.1,X,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobaculum,Chlorobaculum parvum NCIB 8327,CP001099.1,ACF11913.1,NA,MotA/TolQ/ExbB proton channel,ACF11913.1_AQB_Chlorobaculum
Bacteria,ACF14374.1,X,Chlorobi,Chlorobia,Chlorobiales,Chloroherpetonaceae,Chloroherpeton,Chloroherpeton thalassium ATCC 35110,CP001100.1,ACF14374.1,NA,MotA/TolQ/ExbB proton channel,ACF14374.1_AQB_Chloroherpeton
Bacteria,ACF14782.1,X,Chlorobi,Chlorobia,Chlorobiales,Chloroherpetonaceae,Chloroherpeton,Chloroherpeton thalassium ATCC 35110,CP001100.1,ACF14782.1,NA,MotA/TolQ/ExbB proton channel,ACF14782.1_AQB_Chloroherpeton
Bacteria,ACF44367.1,X,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Pelodictyon,Pelodictyon phaeoclathratiforme BU-1,CP001110.1,ACF44367.1,NA,protein TolQ,ACF44367.1_TolQ_Pelodictyon
Bacteria,ACI21187.1,X,Nitrospirae,Thermodesulfovibrionia,Thermodesulfovibrionales,Thermodesulfovibrionaceae,Thermodesulfovibrio,Thermodesulfovibrio yellowstonii DSM 11347,CP001147.1,ACI21187.1,NA,chemotaxis MotA protein,ACI21187.1_MotA_Thermodesulfovibrio
Bacteria,ACI21445.1,X,Nitrospirae,Thermodesulfovibrionia,Thermodesulfovibrionales,Thermodesulfovibrionaceae,Thermodesulfovibrio,Thermodesulfovibrio yellowstonii DSM 11347,CP001147.1,ACI21445.1,NA,lateral flagellar motor protein MotA,ACI21445.1
Bacteria,ACI22061.1,X,Nitrospirae,Thermodesulfovibrionia,Thermodesulfovibrionales,Thermodesulfovibrionaceae,Thermodesulfovibrio,Thermodesulfovibrio yellowstonii DSM 11347,CP001147.1,ACI22061.1,NA,TolQ protein,ACI22061.1_TolQ_Thermodesulfovibrio
Bacteria,ACL22206.1,X,Bacillota,Clostridia,Eubacteriales,Desulfitobacteriaceae,Desulfitobacterium,Desulfitobacterium hafniense DCB-2,CP001336.1,ACL22206.1,NA,MotA/TolQ/ExbB proton channel,ACL22206.1_AQB_Desulfitobacterium
Bacteria,ACL64950.1,X,Pseudomonadota,Deltaproteobacteria,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,Anaeromyxobacter dehalogenans 2CP-1,CP001359.1,ACL64950.1,NA,MotA/TolQ/ExbB proton channel,ACL64950.1_AQB_Anaeromyxobacter
Bacteria,ACL67494.1,X,Pseudomonadota,Deltaproteobacteria,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,Anaeromyxobacter dehalogenans 2CP-1,CP001359.1,ACL67494.1,NA,MotA/TolQ/ExbB proton channel,ACL67494.1_AQB_Anaeromyxobacter
Bacteria,ACL67782.1,X,Pseudomonadota,Deltaproteobacteria,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,Anaeromyxobacter dehalogenans 2CP-1,CP001359.1,ACL67782.1,NA,MotA/TolQ/ExbB proton channel,ACL67782.1_AQB_Anaeromyxobacter
Bacteria,ACL94252.1,X,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter vibrioides NA1000,CP001340.1,ACL94252.1,NA,flagellar motor stator protein MotA,ACL94252.1_MotA_Caulobacter
Bacteria,ACL95886.1,X,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter vibrioides NA1000,CP001340.1,ACL95886.1,NA,TonB accessory protein exbB,ACL95886.1_ExbB_Caulobacter
Bacteria,ACL96805.1,X,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter vibrioides NA1000,CP001340.1,ACL96805.1,NA,TolQ protein,ACL96805.1_TolQ_Caulobacter
Bacteria,ACO31817.1,X,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium,Acidobacterium capsulatum ATCC 51196,CP001472.1,ACO31817.1,NA,transporter MotA/TolQ/ExbB proton channel family,ACO31817.1_AQBfamily_Acidobacterium
Bacteria,ACO33277.1,X,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium,Acidobacterium capsulatum ATCC 51196,CP001472.1,ACO33277.1,NA,chemotaxis MotA protein,ACO33277.1_MotA_Acidobacterium
Bacteria,ACX73656.1,X,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,Fibrobacter succinogenes subsp. succinogenes S85,CP001792.1,ACX73656.1,NA,MotA/TolQ/ExbB proton channel,ACX73656.1_AQB_Fibrobacter
Bacteria,ACX74512.1,X,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,Fibrobacter succinogenes subsp. succinogenes S85,CP001792.1,ACX74512.1,NA,MotA/TolQ/ExbB proton channel,ACX74512.1_AQB_Fibrobacter
Bacteria,ADB16663.1,X,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Pirellula,Pirellula staleyi DSM 6068,CP001848.1,ADB16663.1,NA,MotA/TolQ/ExbB proton channel,ADB16663.1_AQB_Pirellula
Bacteria,ADB17385.1,X,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Pirellula,Pirellula staleyi DSM 6068,CP001848.1,ADB17385.1,NA,MotA/TolQ/ExbB proton channel,ADB17385.1_AQB_Pirellula
Bacteria,ADB17458.1,X,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Pirellula,Pirellula staleyi DSM 6068,CP001848.1,ADB17458.1,NA,MotA/TolQ/ExbB proton channel,ADB17458.1_AQB_Pirellula
Bacteria,ADD67090.1,X,Deferribacteres,Deferribacteres,Deferribacterales,Geovibrionaceae,Denitrovibrio,Denitrovibrio acetiphilus DSM 12809,CP001968.1,ADD67090.1,NA,MotA/TolQ/ExbB proton channel,ADD67090.1_AQB_Denitrovibrio
Bacteria,ADD67609.1,X,Deferribacteres,Deferribacteres,Deferribacterales,Geovibrionaceae,Denitrovibrio,Denitrovibrio acetiphilus DSM 12809,CP001968.1,ADD67609.1,NA,MotA/TolQ/ExbB proton channel,ADD67609.1_AQB_Denitrovibrio
Bacteria,ADD67744.1,X,Deferribacteres,Deferribacteres,Deferribacterales,Geovibrionaceae,Denitrovibrio,Denitrovibrio acetiphilus DSM 12809,CP001968.1,ADD67744.1,NA,MotA/TolQ/ExbB proton channel,ADD67744.1_AQB_Denitrovibrio
Bacteria,ADD67874.1,X,Deferribacteres,Deferribacteres,Deferribacterales,Geovibrionaceae,Denitrovibrio,Denitrovibrio acetiphilus DSM 12809,CP001968.1,ADD67874.1,NA,MotA/TolQ/ExbB proton channel,ADD67874.1_AQB_Denitrovibrio
Bacteria,ADD68377.1,X,Deferribacteres,Deferribacteres,Deferribacterales,Geovibrionaceae,Denitrovibrio,Denitrovibrio acetiphilus DSM 12809,CP001968.1,ADD68377.1,NA,MotA/TolQ/ExbB proton channel,ADD68377.1_AQB_Denitrovibrio
Bacteria,ADE87210.1,X,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Rhodobacter,Rhodobacter capsulatus SB 1003,CP001312.1,ADE87210.1,NA,chemotaxis protein MotA,ADE87210.1_MotA_Rhodobacter
Bacteria,ADG94140.1,X,Pseudomonadota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,Arcobacter nitrofigilis DSM 7299,CP001999.1,ADG94140.1,NA,MotA/TolQ/ExbB proton channel,ADG94140.1_AQB_Arcobacter
Bacteria,ADL01024.1,X,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas subvibrioides ATCC 15264,CP002102.1,ADL01024.1,NA,MotA/TolQ/ExbB proton channel,ADL01024.1_AQB_Brevundimonas
